iter	RMSE
0	69.85601532
1	67.91302197
2	66.13231569
3	64.31864848
4	62.5365545
5	60.92750789
6	59.42120432
7	57.82258288
8	56.28773085
9	54.81894896
10	53.49698162
11	52.15308007
12	50.94592714
13	49.79932569
14	48.51826979
15	47.32701134
16	46.16198355
17	44.99015176
18	44.0093559
19	42.99692852
20	41.95631914
21	41.09352844
22	40.16035615
23	39.28105351
24	38.63081876
25	37.71758896
26	36.80586914
27	35.89968122
28	35.11982588
29	34.32641271
30	33.69504004
31	33.02437637
32	32.29435213
33	31.56766779
34	30.82911684
35	30.18539915
36	29.59627359
37	28.91831647
38	28.25843289
39	27.66232846
40	27.05723234
41	26.47466361
42	25.92899102
43	25.42321384
44	24.93024828
45	24.44699245
46	24.05560635
47	23.56121946
48	23.16901408
49	22.73584197
50	22.34905002
51	21.88283576
52	21.48670792
53	21.11805486
54	20.70640694
55	20.39375125
56	20.01896445
57	19.65088694
58	19.33252069
59	18.98270534
60	18.62468977
61	18.34355981
62	18.04297358
63	17.85558677
64	17.509188
65	17.16662571
66	16.85269414
67	16.54315212
68	16.29090528
69	16.0156659
70	15.75767778
71	15.51902602
72	15.32065176
73	15.08937723
74	14.83508457
75	14.6207518
76	14.40869842
77	14.19597325
78	14.00044494
79	13.77649531
80	13.57212539
81	13.39704316
82	13.2309412
83	13.04074777
84	12.84083921
85	12.66278722
86	12.51587521
87	12.29760786
88	12.21241421
89	12.0629644
90	11.89043779
91	11.73990104
92	11.66757382
93	11.48470154
94	11.38161743
95	11.23190852
96	11.08631977
97	10.95327489
98	10.86528427
99	10.70091101
100	10.54335497
101	10.43783326
102	10.28897117
103	10.20656656
104	10.08281077
105	9.990795724
106	9.877160519
107	9.793786078
108	9.675238442
109	9.567698481
110	9.461176399
111	9.404965465
112	9.30848304
113	9.26111298
114	9.152141079
115	9.02065801
116	8.925491606
117	8.822951718
118	8.722272627
119	8.611094635
120	8.507665951
121	8.440613908
122	8.36110439
123	8.310002704
124	8.208806419
125	8.107060397
126	8.013717703
127	7.941993541
128	7.840815941
129	7.766260515
130	7.723604457
131	7.676173097
132	7.590531531
133	7.506420775
134	7.449335742
135	7.366823818
136	7.30198392
137	7.255815051
138	7.230688068
139	7.153687518
140	7.072633499
141	7.024234835
142	6.967842499
143	6.943976643
144	6.867748878
145	6.822134049
146	6.752970315
147	6.722094032
148	6.698787827
149	6.638251637
150	6.57920149
151	6.549313627
152	6.49319996
153	6.436766868
154	6.392805526
155	6.364201836
156	6.306636747
157	6.287412066
158	6.260071782
159	6.246582193
160	6.199984283
161	6.174738327
162	6.146225228
163	6.124700287
164	6.083879605
165	6.058357173
166	6.034621314
167	6.015584582
168	5.999977813
169	5.984340347
170	5.933324761
171	5.918225937
172	5.868565622
173	5.84955413
174	5.835165808
175	5.816018627
176	5.785012407
177	5.765555435
178	5.719832836
179	5.669919929
180	5.65532285
181	5.62488686
182	5.611384014
183	5.559912922
184	5.543052137
185	5.52820498
186	5.497285292
187	5.449554813
188	5.438079065
189	5.428994662
190	5.417963006
191	5.400764274
192	5.38902154
193	5.34040148
194	5.329005908
195	5.296616425
196	5.266890991
197	5.239780042
198	5.230132832
199	5.217942859
200	5.207555986
201	5.193865063
202	5.186502469
203	5.176668555
204	5.166947149
205	5.124217466
206	5.085031013
207	5.071998709
208	5.062934299
209	5.053965085
210	5.045247654
211	5.036551271
212	5.030476963
213	5.022170823
214	4.988232243
215	4.979893133
216	4.969701464
217	4.96074404
218	4.951954958
219	4.944474236
220	4.905209665
221	4.898001273
222	4.890769761
223	4.883045171
224	4.848716459
225	4.841862078
226	4.811342501
227	4.8044556
228	4.797638895
229	4.791336615
230	4.766902966
231	4.731133234
232	4.725097365
233	4.719011814
234	4.712405402
235	4.70858068
236	4.674646012
237	4.635082615
238	4.595246951
239	4.558512707
240	4.53234457
241	4.51603387
242	4.495367783
243	4.48964759
244	4.466352588
245	4.460783029
246	4.455324673
247	4.431180421
248	4.425895728
249	4.420897786
250	4.404681946
251	4.384532097
252	4.379548382
253	4.356392489
254	4.334269895
255	4.307091901
256	4.30249982
257	4.297995973
258	4.29377953
259	4.28940823
260	4.285122582
261	4.256780789
262	4.250055829
263	4.229996192
264	4.212618847
265	4.208576176
266	4.204616477
267	4.176106595
268	4.164183969
269	4.158419049
270	4.15244389
271	4.148820848
272	4.145244206
273	4.128218441
