iter	Passed	Remaining
0	1	1836
1	3	1646
2	4	1356
3	5	1379
4	6	1377
5	8	1385
6	9	1393
7	11	1389
8	12	1409
9	14	1403
10	15	1395
11	16	1391
12	18	1390
13	19	1388
14	20	1358
15	22	1358
16	22	1319
17	24	1327
18	26	1354
19	27	1340
20	28	1344
21	30	1350
22	31	1359
23	33	1363
24	35	1366
25	36	1372
26	38	1374
27	39	1385
28	41	1395
29	43	1400
30	44	1389
31	45	1379
32	46	1360
33	47	1343
34	48	1348
35	50	1353
36	52	1358
37	53	1357
38	55	1366
39	57	1372
40	58	1378
41	60	1383
42	61	1376
43	63	1370
44	64	1374
45	66	1377
46	68	1389
47	70	1393
48	72	1398
49	73	1404
50	75	1407
51	77	1410
52	79	1413
53	80	1417
54	83	1426
55	84	1429
56	86	1433
57	88	1437
58	90	1440
59	92	1443
60	94	1448
61	96	1462
62	98	1468
63	100	1470
64	102	1472
65	104	1474
66	106	1476
67	107	1477
68	109	1478
69	111	1487
70	113	1488
71	115	1484
72	116	1475
73	118	1477
74	120	1480
75	121	1481
76	124	1487
77	125	1488
78	127	1488
79	129	1489
80	131	1490
81	132	1480
82	133	1471
83	135	1472
84	136	1472
85	138	1475
86	140	1477
87	142	1477
88	143	1467
89	145	1466
90	146	1465
91	148	1464
92	149	1459
93	151	1455
94	152	1454
95	154	1453
96	156	1453
97	157	1452
98	159	1452
99	161	1450
100	162	1445
101	164	1446
102	166	1446
103	167	1445
104	169	1444
105	171	1444
106	172	1443
107	174	1442
108	176	1442
109	178	1443
110	180	1443
111	182	1443
112	183	1442
113	184	1436
114	186	1436
115	188	1436
116	190	1435
117	192	1439
118	194	1440
119	196	1439
120	198	1439
121	199	1438
122	201	1437
123	203	1437
124	205	1436
125	207	1437
126	208	1436
127	210	1431
128	211	1431
129	213	1430
130	215	1429
131	217	1428
132	218	1427
133	220	1427
134	222	1426
135	224	1425
136	226	1424
137	227	1423
138	229	1422
139	230	1418
140	232	1417
141	234	1419
142	236	1420
143	238	1420
144	240	1419
145	242	1418
146	244	1418
147	246	1417
148	248	1419
149	250	1419
150	251	1416
151	253	1415
152	255	1414
153	257	1413
154	259	1413
155	261	1414
156	263	1415
157	265	1414
158	267	1413
159	268	1408
160	270	1407
161	271	1406
162	273	1405
163	274	1401
164	277	1401
165	278	1400
166	280	1400
167	282	1399
168	283	1395
169	285	1394
170	287	1393
171	289	1394
172	291	1393
173	293	1391
174	294	1390
175	296	1388
176	298	1387
177	300	1386
178	302	1386
179	304	1387
180	306	1387
181	308	1387
182	310	1386
183	312	1386
184	314	1387
185	317	1390
186	319	1390
187	321	1390
188	323	1389
189	325	1388
190	327	1387
191	330	1388
192	332	1388
193	333	1387
194	335	1386
195	338	1387
196	340	1387
197	342	1386
198	344	1384
199	345	1383
200	347	1382
201	349	1381
202	351	1380
203	353	1379
204	355	1377
205	357	1378
206	359	1377
207	361	1376
208	363	1376
209	365	1375
210	367	1375
211	369	1374
212	371	1373
213	374	1375
214	376	1375
215	378	1375
216	381	1376
217	385	1382
218	388	1384
219	390	1384
220	392	1384
221	395	1384
222	397	1383
223	400	1386
224	402	1385
225	404	1386
226	407	1386
227	410	1391
228	414	1393
229	416	1393
230	418	1394
231	421	1396
232	424	1396
233	426	1396
234	429	1396
235	430	1392
236	432	1392
237	434	1391
238	436	1391
239	439	1391
240	441	1391
241	444	1391
242	446	1391
243	448	1389
244	450	1387
245	452	1385
246	454	1384
247	455	1382
248	457	1380
249	459	1378
250	461	1376
251	463	1374
252	464	1372
253	466	1370
254	468	1369
255	470	1367
256	472	1365
257	474	1363
258	475	1361
259	477	1359
260	479	1357
261	481	1355
262	484	1356
263	485	1354
264	487	1352
265	489	1350
266	491	1348
267	493	1346
268	495	1345
269	497	1344
270	499	1342
271	501	1341
272	502	1339
273	504	1337
274	506	1335
275	508	1333
276	510	1332
277	512	1330
278	513	1327
279	515	1325
280	517	1323
281	519	1321
282	520	1319
283	522	1317
284	524	1316
285	526	1314
286	528	1312
287	529	1309
288	531	1308
289	533	1305
290	535	1304
291	536	1302
292	539	1301
293	541	1299
294	543	1297
295	544	1295
296	546	1293
297	548	1291
298	549	1289
299	551	1287
300	553	1286
301	555	1283
302	557	1281
303	559	1279
304	560	1277
305	562	1275
